AcademicYear,Stipend9Fellow,Stipend9TAGA,Stipend9RAGRA,Link
2014,24104,24104,23470,https://web.archive.org/web/20140729081156/http://www.gradschool.cornell.edu/costs-and-funding/stipend-rates
2015,24658,24658,24658,https://web.archive.org/web/20150905132621/http://gradschool.cornell.edu/costs-and-funding/stipend-rates
2016,25152,25152,25152,https://web.archive.org/web/20160920210419/http://gradschool.cornell.edu/costs-funding/stipend-rates
2017,25780,25780,25780,https://web.archive.org/web/20170919170150/https://gradschool.cornell.edu/costs-funding/stipend-rates
2018,26426,26426,26426,https://web.archive.org/web/20190129004513/https://gradschool.cornell.edu/financial-support/stipend-rates/
2019,27218,27218,27218,https://web.archive.org/web/20190606085319/https://gradschool.cornell.edu/financial-support/stipend-rates/
2020,28036,28036,28036,https://web.archive.org/web/20200926122252/https://gradschool.cornell.edu/financial-support/stipend-rates/
2021,28654,28654,28654,https://web.archive.org/web/20211023021246/https://gradschool.cornell.edu/financial-support/stipend-rates/
2022,30088,30088,30088,https://web.archive.org/web/20220929010332/https://gradschool.cornell.edu/financial-support/stipend-rates/
2023,32494,32494,32494,https://web.archive.org/web/20240313104731/https://gradschool.cornell.edu/financial-support/stipend-rates/2023-24-stipend-rates/
2024,33930,33930,33930,https://web.archive.org/web/20240306213020/https://gradschool.cornell.edu/financial-support/stipend-rates/