Year,Stipend12,Link
2023,37000,https://new.nsf.gov/funding/opportunities/nsf-graduate-research-fellowship-program-grfp/nsf23-605/solicitation
2022,37000,https://new.nsf.gov/funding/opportunities/nsf-graduate-research-fellowship-program-grfp/nsf22-614/solicitation
2021,34000,https://new.nsf.gov/funding/opportunities/nsf-graduate-research-fellowship-program-grfp/nsf21-602/solicitation
2020,34000,https://new.nsf.gov/funding/opportunities/nsf-graduate-research-fellowship-program-grfp/nsf20-587/solicitation
2019,34000,https://new.nsf.gov/funding/opportunities/nsf-graduate-research-fellowship-program-grfp/nsf19-590/solicitation
2018,34000,https://new.nsf.gov/funding/opportunities/nsf-graduate-research-fellowship-program-grfp/nsf18-573/solicitation
2016,34000,https://new.nsf.gov/funding/opportunities/nsf-graduate-research-fellowship-program-grfp/nsf16-588/solicitation
2015,34000,https://new.nsf.gov/funding/opportunities/nsf-graduate-research-fellowship-program-grfp/nsf15-597/solicitation
2014,32000,https://new.nsf.gov/funding/opportunities/nsf-graduate-research-fellowship-program-grfp/nsf14-590/solicitation
2013,32000,https://new.nsf.gov/funding/opportunities/nsf-graduate-research-fellowship-program-grfp/nsf13-584/solicitation
2012,30000,https://new.nsf.gov/funding/opportunities/nsf-graduate-research-fellowship-program-grfp/nsf12-599/solicitation
2011,30000,https://new.nsf.gov/funding/opportunities/nsf-graduate-research-fellowship-program-grfp/nsf11-582/solicitation
2010,30000,https://new.nsf.gov/funding/opportunities/nsf-graduate-research-fellowship-program-grfp/nsf10-604/solicitation
2009,30000,https://new.nsf.gov/funding/opportunities/nsf-graduate-research-fellowship-program-grfp/nsf09-603/solicitation
2008,30000,https://new.nsf.gov/funding/opportunities/nsf-graduate-research-fellowship-program-grfp/nsf08-593/solicitation
2007,30000,https://new.nsf.gov/funding/opportunities/nsf-graduate-research-fellowship-program-grfp/nsf07-576/solicitation
2006,30000,https://new.nsf.gov/funding/opportunities/nsf-graduate-research-fellowship-program-grfp/nsf06-592/solicitation
2005,30000,https://new.nsf.gov/funding/opportunities/nsf-graduate-research-fellowship-program-grfp/nsf05-601/solicitation
2004,30000,https://new.nsf.gov/funding/opportunities/nsf-graduate-research-fellowship-program-grfp/nsf04-615/solicitation
2003,27500,https://new.nsf.gov/funding/opportunities/nsf-graduate-research-fellowship-program-grfp/6495/solicitation
2002,,
2001,27500,https://www.nsf.gov/pubs/2001/nsf0194/nsf0194.htm