AcademicYear,Stipend9Sciences,Stipend9Social,Stipend9Hum,ContractFile
2002,11000,11000,11000,temple02
2002,13400,12900,12400,temple02
2003,13768,13254,12741,temple02
2004,14146,13618,13091,temple02
2005,14535,13992,13451,temple02
2006,14974,14415,13857,temple06
2007,15274,14703,14134,temple06
2008,15578,14996,14417,temple06
2009,15889,15296,14705,temple06
2010,16204,15599,15000,temple10
2011,16690,16067,15450,temple10
2012,17191,16549,15914,temple10
2013,17707,17046,16391,temple10
2014,17706,17046,16391,temple14
2015,17883,17216,16555,temple14
2016,18285,17604,16927,temple14
2017,18697,18000,17308,temple14
2018,19211,18495,17784,temple18
2019,19739,19004,18273,temple18
2020,20282,19527,18776,temple18
2021,20840,20064,19292,temple18
2022,20840,20064,19292,temple22
2022,24000,24000,24000,temple22
2023,25000,25000,25000,temple22
2024,26000,26000,26000,temple22
2025,27000,27000,27000,temple22